Algorithm,Alpha 0,Decay rate,Train loss,Test loss,,,
Adagrad,0.1,1,0.024386317,0.019299876,,,
Adagrad,0.1,0.1,0.021519406,0.015895784,,0.010536475,0.012534431
Adagrad,0.1,0.01,0.014356725,0.014866395,,,
Adagrad,0.1,0.001,0.013805919,0.01299951,,,
Adagrad,0.1,0.0001,0.020247675,0.013112008,,,
Adagrad,0.1,1.00E-05,0.018663058,0.012534431,,,min test
Adagrad,0.1,1.00E-06,0.011941476,0.012809152,,,
Adagrad,0.1,1.00E-07,0.014038293,0.013552287,,,
Adagrad,0.01,1,0.026642672,0.020969355,,,
Adagrad,0.01,0.1,0.016807112,0.020018499,,,
Adagrad,0.01,0.01,0.017770892,0.016047284,,,
Adagrad,0.01,0.001,0.010536475,0.015084494,,min train err,
Adagrad,0.01,0.0001,0.015185458,0.014992003,,,
Adagrad,0.01,1.00E-05,0.020368898,0.014927046,,,
Adagrad,0.01,1.00E-06,0.025697727,0.014921571,,,
Adagrad,0.01,1.00E-07,0.018908731,0.014885193,,,
Adagrad,0.001,1,0.012165692,0.021217251,,,
Adagrad,0.001,0.1,0.016208468,0.021107201,,,
Adagrad,0.001,0.01,0.015727586,0.020050977,,,
Adagrad,0.001,0.001,0.016114708,0.016974721,,,
Adagrad,0.001,0.0001,0.011095055,0.016248969,,,
Adagrad,0.001,1.00E-05,0.015393534,0.016215577,,,
Adagrad,0.001,1.00E-06,0.01246131,0.016239818,,,
Adagrad,0.001,1.00E-07,0.023997935,0.016221694,,,
Adagrad,0.0001,1,0.020793096,0.02123914,,,
Adagrad,0.0001,0.1,0.018882163,0.021226409,,,
Adagrad,0.0001,0.01,0.013434953,0.021109478,,,
Adagrad,0.0001,0.001,0.022962492,0.020504627,,,
Adagrad,0.0001,0.0001,0.023633571,0.020193091,,,
Adagrad,0.0001,1.00E-05,0.019131159,0.020156085,,,
Adagrad,0.0001,1.00E-06,0.021168845,0.020169098,,,
Adagrad,0.0001,1.00E-07,0.015095589,0.020164432,,,
Adagrad,1.00E-05,1,0.020498544,0.021241626,,,
Adagrad,1.00E-05,0.1,0.027126036,0.021240403,,,
Adagrad,1.00E-05,0.01,0.022459804,0.021228513,,,
Adagrad,1.00E-05,0.001,0.01967571,0.021161438,,,
Adagrad,1.00E-05,0.0001,0.024552194,0.021125765,,,
Adagrad,1.00E-05,1.00E-05,0.024495787,0.021123115,,,
Adagrad,1.00E-05,1.00E-06,0.016532515,0.021121066,,,
Adagrad,1.00E-05,1.00E-07,0.012162539,0.021120484,,,
Adagrad,1.00E-06,1,0.021793678,0.021241786,,,
Adagrad,1.00E-06,0.1,0.022965342,0.021241672,,,
Adagrad,1.00E-06,0.01,0.018786838,0.021240478,,,
Adagrad,1.00E-06,0.001,0.023637215,0.021233785,,,
Adagrad,1.00E-06,0.0001,0.023932887,0.021230126,,,
Adagrad,1.00E-06,1.00E-05,0.020581898,0.021229643,,,
Adagrad,1.00E-06,1.00E-06,0.024942161,0.021229641,,,
Adagrad,1.00E-06,1.00E-07,0.025455094,0.021229664,,,
