Algorithm,Alpha 0,Decay rate,Train loss,Test loss,,,
SGD,0.001,0.0001,0.000884258,0.043873944,,,
SGD,0.001,0.0002,0.000882546,0.045207278,,,
SGD,0.001,0.0003,0.000942892,0.045439342,,,
SGD,0.001,0.0004,0.001027307,0.046771695,,,
SGD,0.001,0.0005,0.001052765,0.047474224,,,
SGD,0.001,0.0006,0.001163113,0.050244944,,,
SGD,0.001,0.0007,0.001151929,0.049565369,,,
SGD,0.001,0.0008,0.001263915,0.052373618,,,
SGD,0.001,0.0009,0.001197695,0.052334759,,,
SGD,0.001,0.001,0.001312473,0.052690797,,,
SGD,0.001,0.002,0.001737111,0.061193626,,,
SGD,0.001,0.003,0.002099862,0.068583336,,,
SGD,0.001,0.004,0.002083487,0.071165487,,,
SGD,0.001,0.005,0.002495441,0.075741642,,,
SGD,0.001,0.006,0.002638187,0.079682016,,,
SGD,0.001,0.007,0.002647085,0.078943463,,,
SGD,0.001,0.008,0.002658046,0.079924754,,,
SGD,0.001,0.009,0.002788594,0.085989806,,,
SGD,0.001,0.01,0.002679881,0.081514624,,,
SGD,0.002,0.0001,0.000220978,0.028093129,,,
SGD,0.002,0.0002,0.000245828,0.028641628,,,
SGD,0.002,0.0003,0.000301342,0.031084694,,,
SGD,0.002,0.0004,0.000303817,0.030246627,,,
SGD,0.002,0.0005,0.00035001,0.031460549,,,
SGD,0.002,0.0006,0.000374567,0.032002397,,,
SGD,0.002,0.0007,0.00040679,0.033265535,,,
SGD,0.002,0.0008,0.000435491,0.033581312,,,
SGD,0.002,0.0009,0.000525374,0.036325442,,,
SGD,0.002,0.001,0.000509788,0.035851127,,,
SGD,0.002,0.002,0.000870885,0.044325913,,,
SGD,0.002,0.003,0.001236651,0.051345881,,,
SGD,0.002,0.004,0.001508226,0.057371451,,,
SGD,0.002,0.005,0.001796577,0.062369241,,,
SGD,0.002,0.006,0.001700029,0.06655347,,,
SGD,0.002,0.007,0.002184374,0.07209449,,,
SGD,0.002,0.008,0.002230298,0.07105879,,,
SGD,0.002,0.009,0.002148,0.072492698,,,
SGD,0.002,0.01,0.00229603,0.07405341,,,
SGD,0.003,0.0001,5.61E-05,0.022704263,,,
SGD,0.003,0.0002,6.64E-05,0.023089396,,,
SGD,0.003,0.0003,7.89E-05,0.023571083,,,
SGD,0.003,0.0004,9.67E-05,0.024211838,,,
SGD,0.003,0.0005,0.00011368,0.02491276,,,
SGD,0.003,0.0006,0.000125169,0.025205142,,,
SGD,0.003,0.0007,0.000139495,0.025570008,,,
SGD,0.003,0.0008,0.000166018,0.0266019,,,
SGD,0.003,0.0009,0.000180439,0.026808068,,,
SGD,0.003,0.001,0.000201276,0.027533056,,,
SGD,0.003,0.002,0.000459457,0.034091197,,,
SGD,0.003,0.003,0.000755744,0.041043373,,,
SGD,0.003,0.004,0.001021195,0.047683587,,,
SGD,0.003,0.005,0.00119086,0.054670986,,,
SGD,0.003,0.006,0.001425652,0.057336577,,,
SGD,0.003,0.007,0.001491075,0.061746494,,,
SGD,0.003,0.008,0.001794229,0.063150959,,,
SGD,0.003,0.009,0.001982896,0.065993389,,,
SGD,0.003,0.01,0.002057884,0.067743899,,,
SGD,0.004,0.0001,1.44E-05,0.020699939,,,
SGD,0.004,0.0002,1.82E-05,0.020931184,,,
SGD,0.004,0.0003,2.24E-05,0.021157525,,,
SGD,0.004,0.0004,2.76E-05,0.021428541,,,
SGD,0.004,0.0005,3.36E-05,0.021720777,,,
SGD,0.004,0.0006,4.05E-05,0.022034326,,,
SGD,0.004,0.0007,4.87E-05,0.022401396,,,
SGD,0.004,0.0008,5.79E-05,0.022764841,,,
SGD,0.004,0.0009,6.67E-05,0.023101574,,,
SGD,0.004,0.001,8.39E-05,0.023864163,,,
SGD,0.004,0.002,0.000236561,0.028397876,,,
SGD,0.004,0.003,0.000466447,0.034787047,,,
SGD,0.004,0.004,0.00073833,0.040680086,,,
SGD,0.004,0.005,0.000916927,0.046889449,,,
SGD,0.004,0.006,0.001200823,0.050636747,,,
SGD,0.004,0.007,0.001390921,0.054553809,,,
SGD,0.004,0.008,0.001538287,0.057278476,,,
SGD,0.004,0.009,0.00171602,0.062609348,,,
SGD,0.004,0.01,0.001781096,0.062072378,,,
SGD,0.005,0.0001,3.61E-06,0.019836281,,,
SGD,0.005,0.0002,4.93E-06,0.019974413,,,
SGD,0.005,0.0003,7.68E-06,0.020235812,,,
SGD,0.005,0.0004,1.33E-05,0.020720953,,,
SGD,0.005,0.0005,1.26E-05,0.02060683,,,
SGD,0.005,0.0006,1.36E-05,0.020645231,,,
SGD,0.005,0.0007,1.67E-05,0.02083428,,,
SGD,0.005,0.0008,2.09E-05,0.021078863,,,
SGD,0.005,0.0009,2.67E-05,0.021399964,,,
SGD,0.005,0.001,3.06E-05,0.021581115,,,
SGD,0.005,0.002,0.000124745,0.025195433,,,
SGD,0.005,0.003,0.000287683,0.029783095,,,
SGD,0.005,0.004,0.000492578,0.035826522,,,
SGD,0.005,0.005,0.000686825,0.040109833,,,
SGD,0.005,0.006,0.000888103,0.043964837,,,
SGD,0.005,0.007,0.001045734,0.048228342,,,
SGD,0.005,0.008,0.001212708,0.05125179,,,
SGD,0.005,0.009,0.001350911,0.054140966,,,
SGD,0.005,0.01,0.001447568,0.056841017,,,
SGD,0.006,0.0001,9.36E-07,0.01945729,,,
SGD,0.006,0.0002,1.44E-06,0.019551468,,,
SGD,0.006,0.0003,2.05E-06,0.01964599,,,
SGD,0.006,0.0004,2.54E-06,0.019709394,,,
SGD,0.006,0.0005,3.42E-06,0.019815223,,,
SGD,0.006,0.0006,5.46E-06,0.020042032,,,
SGD,0.006,0.0007,5.92E-06,0.020067794,,,
SGD,0.006,0.0008,8.01E-06,0.020249988,,,
SGD,0.006,0.0009,1.02E-05,0.020418772,,,
SGD,0.006,0.001,1.39E-05,0.020685869,,,
SGD,0.006,0.002,7.09E-05,0.023337855,,,
SGD,0.006,0.003,0.000181034,0.027067047,,,
SGD,0.006,0.004,0.000343953,0.031931027,,,
SGD,0.006,0.005,0.000572932,0.04484236,,,
SGD,0.006,0.006,0.000694056,0.043459846,,,
SGD,0.006,0.007,0.000860522,0.043222573,,,
SGD,0.006,0.008,0.001032192,0.046905613,,,
SGD,0.006,0.009,0.001177768,0.049952489,,,
SGD,0.006,0.01,0.001325534,0.05322009,,,
SGD,0.007,0.0001,2.61E-07,0.019281894,,,
SGD,0.007,0.0002,3.69E-07,0.019316427,,,
SGD,0.007,0.0003,5.42E-07,0.01936594,,,
SGD,0.007,0.0004,1.22E-06,0.019522753,,,
SGD,0.007,0.0005,1.39E-06,0.019546513,,,
SGD,0.007,0.0006,1.90E-06,0.01962819,,,
SGD,0.007,0.0007,5.05E-06,0.02006123,,,
SGD,0.007,0.0008,2.76E-06,0.019735779,,,
SGD,0.007,0.0009,3.52E-06,0.019824612,,,
SGD,0.007,0.001,6.51E-06,0.020154461,,,
SGD,0.007,0.002,3.29E-05,0.021688244,,,
SGD,0.007,0.003,0.00011098,0.024701001,,,
SGD,0.007,0.004,0.000227274,0.028149929,,,
SGD,0.007,0.005,0.000407566,0.034624095,,,
SGD,0.007,0.006,0.000528755,0.035750895,,,
SGD,0.007,0.007,0.000707596,0.039994666,,,
SGD,0.007,0.008,0.000814558,0.043655335,,,
SGD,0.007,0.009,0.000973596,0.045657045,,,
SGD,0.007,0.01,0.001054169,0.049156326,,,
SGD,0.008,0.0001,6.72E-08,0.019186269,,,
SGD,0.008,0.0002,9.71E-08,0.019204621,,,
SGD,0.008,0.0003,2.12E-07,0.01926091,,,
SGD,0.008,0.0004,2.26E-07,0.019264821,,,
SGD,0.008,0.0005,4.62E-07,0.01934565,,,
SGD,0.008,0.0006,4.86E-07,0.019349218,,,
SGD,0.008,0.0007,1.13E-06,0.019504141,,,
SGD,0.008,0.0008,1.49E-06,0.019571139,,,
SGD,0.008,0.0009,1.49E-06,0.019558096,,,
SGD,0.008,0.001,1.95E-06,0.01962933,,,
SGD,0.008,0.002,1.78E-05,0.020918314,,,
SGD,0.008,0.003,6.54E-05,0.023055946,,,
SGD,0.008,0.004,0.000248053,0.031743692,,,
SGD,0.008,0.005,0.000278129,0.029866243,,,
SGD,0.008,0.006,0.000411703,0.032942478,,,
SGD,0.008,0.007,0.000565029,0.03672064,,,
SGD,0.008,0.008,0.000677873,0.039299942,,,
SGD,0.008,0.009,0.000826191,0.042483556,,,
SGD,0.008,0.01,0.000938919,0.044917292,,,
SGD,0.009,0.0001,1.51E-08,0.019132902,,,
SGD,0.009,0.0002,3.97E-08,0.019159906,,,
SGD,0.009,0.0003,4.23E-08,0.019163196,,,
